,links
0,/wiki/Joker_(2019_film)
1,/wiki/Lucy_in_the_Sky
2,/wiki/Dolemite_Is_My_Name
3,/wiki/In_the_Tall_Grass_(film)
4,/wiki/Low_Tide
5,/wiki/Wrinkles_the_Clown_(film)
6,/wiki/Little_Monsters_(2019_film)
7,/wiki/Gemini_Man_(film)
8,/wiki/The_Addams_Family_(2019_film)
9,/wiki/The_King_(2019_film)
10,/wiki/Jexi
11,/wiki/El_Camino:_A_Breaking_Bad_Movie
12,/wiki/Maleficent:_Mistress_of_Evil
13,/wiki/Zombieland:_Double_Tap
14,/wiki/Jojo_Rabbit
15,/wiki/The_Lighthouse_(2019_film)
16,/wiki/Wounds_(film)
17,/wiki/Black_and_Blue_(2019_film)
18,/wiki/The_Current_War
19,/wiki/Countdown_(2019_film)
20,/wiki/The_Kill_Team_(2019_film)
21,/wiki/The_Gallows_Act_II
22,/wiki/Terminator:_Dark_Fate
23,/wiki/Motherless_Brooklyn_(film)
24,/wiki/The_Irishman
25,/wiki/Harriet_(film)
26,/wiki/Arctic_Dogs
27,/wiki/Christmas_Coupon
28,/wiki/Marriage_Story
29,/wiki/Doctor_Sleep_(2019_film)
30,/wiki/Last_Christmas_(film)
31,/wiki/Playing_with_Fire_(2019_film)
32,/wiki/Midway_(2019_film)
33,/wiki/Klaus_(film)
34,/wiki/Honey_Boy_(film)
35,/wiki/Lady_and_the_Tramp_(2019_film)
36,/wiki/Noelle_(2019_film)
37,/wiki/Ford_v_Ferrari
38,/wiki/Charlie%27s_Angels_(2019_film)
39,/wiki/The_Good_Liar
40,/wiki/The_Report_(2019_film)
41,/wiki/Waves_(film)
42,/wiki/Frozen_II
43,/wiki/A_Beautiful_Day_in_the_Neighborhood
44,/wiki/21_Bridges
45,/wiki/Dark_Waters_(2019_film)
46,/wiki/Knives_Out
47,/wiki/Queen_%26_Slim
48,/wiki/The_Two_Popes
49,/wiki/Playmobil:_The_Movie
50,/wiki/The_Aeronauts_(film)
51,/wiki/A_Million_Little_Pieces_(film)
52,/wiki/Daniel_Isn%27t_Real
53,/wiki/Jumanji:_The_Next_Level
54,/wiki/Richard_Jewell_(film)
55,/wiki/Black_Christmas_(2019_film)
56,/wiki/6_Underground_(film)
57,/wiki/Bombshell_(2019_film)
58,/wiki/Uncut_Gems
59,/wiki/Seberg
60,/wiki/A_Hidden_Life_(2019_film)
61,/wiki/Star_Wars:_The_Rise_of_Skywalker
62,/wiki/Cats_(2019_film)
63,/wiki/Togo_(film)
64,/wiki/Spies_in_Disguise
65,/wiki/Little_Women_(2019_film)
66,/wiki/1917_(2019_film)
67,/wiki/Just_Mercy
68,/wiki/Clemency_(film)
69,/wiki/Mena_Suvari
